,tweet_id,username,name,replies,retweets,likes,posted_time,content
692,1677022640056442880,BTStranslation_,Sel⁷,123,4937,16821,2023-07-06 18:32:09+00:00,"BTS RM/NAMJOON INSTAGRAM STORY 230707
[36 mins ago]

NJ: 

[in the pic]

The following is the result for your personality test.

Personality type: Activist (ENFP-T)
Tendency: Extraverted – 72%, Intuitive – 92%, Feeling – 72%, Prospecting – 83%, Turbulent– 86%"
693,1676602551364624384,aajtak,AajTak,2,12,231,2023-07-05 14:42:52+00:00,"अजित पवार गुट ने चुनाव आयोग के सामने बड़ा दावा किया है.इसमें शरद पवार की जगह अजित पवार को NCP का अध्यक्ष बनाने का दावा किया गया है.

#ATDigital #NCP #AjitPawar #SharadPawar"
694,1677054307252723713,thePrimalSpace,Primal Space,0,26,205,2023-07-06 20:37:59+00:00,"SpaceX are targeting tomorrow at 19:29 UTC for the launch of the Starlink 5-13 mission! 

: SpaceX"
695,1677165713109442560,Spotify,Spotify,161,9330,34059,2023-07-07 04:00:40+00:00,Speak Now (Taylor's Version) is here and all is right in the world  #SpeakNowTaylorsVersion
696,1677187307512659970,holygroundsound,shannon (DROP EVERYTHING NOW ERA),92,2153,17561,2023-07-07 05:26:29+00:00,taylor did andrea make you take i can see you off speak now be honest
697,1677165546985385984,chartdata,chart data,83,927,13664,2023-07-07 04:00:01+00:00,".
@taylorswift13
's 'Fearless' has not charted on the Billboard 200 since the release of 'Fearless (Taylor's Version)'."
698,1676799882458451975,timesofindia,The Times Of India,3,2,25,2023-07-06 03:47:00+00:00,"#Delhi | Amid #NCP vs #NCP crisis in #Maharashtra, Rashtrawadi Vidyarthi Congress puts up a poster designed on a scene from the film 'Baahubali - The Beginning', showing its character 'Kattappa' stabbing 'Amarendra Baahubali' in the back."
699,1676977701129965568,misamerichannah,hannah is haunted (taylor's version),51,1375,20741,2023-07-06 15:33:35+00:00,"PURPLE TASSEL LOVER BODYSUIT
PURPLE FEARLESS DRESS
PURPLE EVERMORE DRESS
PURPLE REP BODYSUIT
PURPLE SPEAK NOW GOWN
EXTENDED SPEAK NOW TV SET
22 SHIRT W/ PURPLE LETTERS 
PURPLE SPARKLY OUTFIT FOR RED
PURPLE FOLKLORE
PURPLE 1989
PURPLE SURPRISE SONG DRESS
PURPLE MIDNIGHTS"
700,1676945541211598848,TheSwiftSociety,The Swift Society,76,1895,26830,2023-07-06 13:25:47+00:00,"| Taylor Nation suggests to wear purple outfits to 
@TaylorSwift13
' shows this week! "
701,1677012717234954243,timesofindia,The Times Of India,1,2,19,2023-07-06 17:52:43+00:00,The #EnforcementDirectorate has arrested businessman #DineshArora in connection with the #DelhiExcisePolicy case. Arora is a #CBI approver in the case. (ANI)
702,1676970125726216192,btschartsdailys,BTS Charts Daily⁷,509,6053,23967,2023-07-06 15:03:29+00:00,Is so cold
703,1677236728694980608,timesofindia,The Times Of India,0,1,14,2023-07-07 08:42:52+00:00,"#Hyderabad, #Telangana | #PMModi has not fulfilled even a single promise that he had made in the AP Reorganisation Act. Not only the Coach factory but they have not approved Tribal University till now. Byyaram Steel factory which was promised has not been given till now. Then how… Show more"
704,1677167801075908608,blessedswifty,Taylor Swift Facts,18,3403,12527,2023-07-07 04:08:58+00:00," | 
@TaylorSwift13
 for ""Speak Now (TV)""!"
705,1677188333640851456,repiatation13,pia is seeing taylor,39,3551,15411,2023-07-07 05:30:34+00:00,actual footage of me listening to I can see you:
706,1676629513026011136,aajtak,AajTak,3,4,39,2023-07-05 16:30:00+00:00,"एक मंत्री की सुपारी! देखिए आज रात 11 बजे वारदात 
@Shamstahirkhan
 के साथ, सिर्फ़ आजतक पर | #Promo #Vardaat"
707,1677150634167107584,BIGHIT_MUSIC,BIGHIT MUSIC,156,3365,15021,2023-07-07 03:00:45+00:00,[기사] Jonas Brothers And #TXT Unite For An Electrifying Collaboration In Highly Anticipated Track ‘Do It Like That’
708,1676974830334164992,whereisyves,castles crumbling ft. hayley williams,71,5945,55889,2023-07-06 15:22:10+00:00,anyone else think it's really weird that artists like taylor swift and hayley williams get smack for singing slightly misogynistic songs they wrote when they were teenagers but no one bats an eyelid when a man sings the word whore
709,1676789309536436224,aajtak,AajTak,6,4,43,2023-07-06 03:04:59+00:00,"मोदी सरकार के नौ साल पूरे होने पर चलने वाला मेगा अभियान 'महाजनसम्पर्क अभियान' अब 18 जुलाई तक चलेगा.  

#BJP #UttarPradesh (
@senshilpi
)"
710,1677188469846671362,charts_k,BTS Charts & Translations,108,7616,13090,2023-07-07 05:31:06+00:00,"Spotify Playlist — Enjoy the SUGA | Agust D Seoul concert LIVE SET including the voices of him on stage!

https://open.spotify.com/playlist/37i9dQZF1DWWmITxTSYkn1?si=54d184a72aba4e0f…"
711,1677135343416385539,INTHESEOM_BTS,BTS Island: In the SEOM,27,1271,5155,2023-07-07 02:00:00+00:00,"with BTS #뷔 의 답변 보상 도착   

오늘은 뷔가 기념하고 싶은 7월 7일  
#V 와 #인더섬 이 준비한 특별 보상을 받아가세요   

 https://bit.ly/3zAgHdM  

#IntheSEOM #BTSIsland"
712,1677154807923064846,aajtak,AajTak,1,6,41,2023-07-07 03:17:20+00:00,"सरकारी नौकरी, लालच और बेवफाई... जब शादी के बाद अफेयर में हुआ रिश्तों का कत्ल, हिलाकर रख देंगी ये कहानियां 

#Crime | Tanvi Gupta"
713,1677169317316812801,TXT_bighit,TXT OFFICIAL,225,9924,24455,2023-07-07 04:15:00+00:00,"‘Do It Like That’ is OUT NOW
You can stream and download the song at your favorite platform

 https://tomorrowxtogether.lnk.to/DoItLikeThat

#TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat"
714,1677080974537154561,PopBase,Pop Base,279,2068,27701,2023-07-06 22:23:57+00:00,Olivia Rodrigo says the next single off ‘GUTS’ will be released ‘very soon.’
715,1676940562170253313,timesofindia,The Times Of India,4,10,32,2023-07-06 13:06:00+00:00,"India's moon mission #Chandrayaan3 to be launched on July 14 

After its failed landing attempt in September 2019, Isro has carried out several changes on the lander for Chandrayaan-3."
716,1677178424945967109,PopCrave,Pop Crave,87,1144,9892,2023-07-07 04:51:11+00:00,"Taylor Swift says ‘Enchanted’ is the most wistfully romantic song she’s ever written.

#SpeakNowTaylorsVersion"
717,1676973934561103874,BTStranslation_,Sel⁷,273,7942,28372,2023-07-06 15:18:37+00:00,CALLED SEVEN?? A SUMMER SONG??? WITH AN EXPLICIT VERSION????? AND THESE CONCEPT PHOTOS AND THE FILM?????? WHAT IS THIS SONG ABOUT IM SORRY IDK IF IM READY ANYMORE
718,1676911026934018054,aajtak,AajTak,61,31,280,2023-07-06 11:08:38+00:00,"हमका माफ़ी देई दो!
देखिए 'दंगल' पर बड़ी बहस 
@chitraaum
 के साथ शाम 5 बजे सिर्फ़ आजतक पर

#Dangal | #ShivrajSinghChouhan | #Promo"
719,1677259629250904064,BRILLER__613,브리이에,1,2105,3913,2023-07-07 10:13:52+00:00,"230707 네이버 포스트 - SUGA | Agust D 'D-DAY' Behind (1)
https://m.post.naver.com/viewer/postView.naver?volumeNo=36214098&memberNo=51325039…"
720,1677135364324982784,taylornation13,Taylor Nation,704,2555,16272,2023-07-07 02:00:05+00:00,"Oh, would you look at the time!!!  

Only TWO hours until #SpeakNowTaylorsVersion returns to its mother!  http://taylor.lnk.to/SpeakNowTaylorsVersion…"
721,1676829134847377409,timesofindia,The Times Of India,7,4,25,2023-07-06 05:43:14+00:00,#WATCH | NCP national president #SharadPawar arrives in #Delhi for the party's National Executive meeting.
722,1677223355102138369,JlNSONYEONDAN,𝓪⁷,168,4412,14268,2023-07-07 07:49:43+00:00,"Aww manager hobum on insta about Jungkook

: Our makdoongie.. (cute way to say maknae/youngest) he’s all grown up keke"
723,1677189169888792576,ImTanujSingh,CricketMAN2,8,70,2557,2023-07-07 05:33:53+00:00,Ravi Ashwin and Ravindra Jadeja both most likely to play in the Test series against West Indies. (To PTI)
724,1676938609901830146,aajtak,AajTak,10,7,74,2023-07-06 12:58:15+00:00,"यूनिफॉर्म सिविल कोड यानी समान नागरिक संहिता (UCC) को लेकर अब जमीयत उलेमा ए हिंद (अरशद मदनी) ने भी लॉ कमीशन को अपना ड्राफ्ट भेज दिया है
#UCC  
@Milan_reports
 @AbshkMishra"
725,1676907968858853376,btsmemeories,bts memeories⁷,130,9323,25337,2023-07-06 10:56:29+00:00,"even his dive is so cat coded 

#SUGA #슈가 #AgustD #D_DAY #SUGA_VLOG  #D_DAY_TOUR_VLOG"
726,1677180053136764928,celestialswiftt,c,38,4952,19300,2023-07-07 04:57:39+00:00,LISTENING TO HAUNTED HITS DIFFERENT AND THE HEAVY BREATHS IN THE BACKGROUND I- #SpeakNowTaylorsVersion
727,1676831996042174464,timesofindia,The Times Of India,2,4,29,2023-07-06 05:54:36+00:00,"#Congress leader #RahulGandhi will hold a press conference at the party headquarters in #Delhi later today. 

  A meeting of #Rajasthan Congress leaders with party president Mallikarjun and Rahul Gandhi is underway at the AICC HQ."
728,1676882277719240706,iamVaruchakarav,Varun chakravarthy,0,821,11558,2023-07-06 09:14:24+00:00,"Thank you my leader, Legend 
@msdhoni
 

#MSDhoni #HBDMSDhoni"
729,1677166059856470016,AppleMusic,Apple Music,46,3147,14145,2023-07-07 04:02:03+00:00,"Next chapter. 

Listen now to 
@taylorswift13
's #SpeakNowTaylorsVersion in #SpatialAudio with 
@Dolby
 Atmos. http://apple.co/SpeakNow-TV"
730,1677189963312422912,rashyslvr,lauren,38,3116,9812,2023-07-07 05:37:02+00:00,"its me, im the foolish one"
731,1677177521895362560,SwiftNYC,Taylor Swift Updates,90,1053,8401,2023-07-07 04:47:36+00:00,"Taylor changed the original lyric of ‘Better Than Revenge’ 

From ‘She’s better known for the things that she does on the mattress.’ 

To ‘He was a moth to the flame, she was holding the matches.’

#SpeakNowTaylorsVersion"
732,1676968093615259652,timesofindia,The Times Of India,0,4,33,2023-07-06 14:55:24+00:00,"#Assam tourist arrivals cross 1 crore for the first time in history, tweets CM #HimantaBiswaSarma."
733,1677143575078010880,YouTube,YouTube,117,1463,4773,2023-07-07 02:32:42+00:00,"it’s 
@newjeans_ADOR
’s world and we’re just living in it #newtube #ImSuperShy"
734,1676972039985397760,SpotifyMexico,Spotify Mexico,161,3191,10878,2023-07-06 15:11:05+00:00,"Me muero 
#JungKook_Seven"
735,1676836763585908737,aajtak,AajTak,4,43,586,2023-07-06 06:13:33+00:00,"समान नागरिक संहिता पर केंद्र सरकार ने पहला बड़ा कदम उठाया है. सरकार ने ग्रुप ऑफ मिनिस्टर्स का गठन किया है जिसमें चार मंत्रियों को अहम जिम्मेदारी दी गई है. इस जीओम की अध्यक्षता केंद्रीय मंत्री किरण रिजीजू करेंगे.
#ATDigital #UCC"
736,1677148150602113024,fifteeenswift,abby,55,1116,13360,2023-07-07 02:50:53+00:00,what if we get a speak now music video that reverses our Mandela effect
